characters,fa_length,fa_list
K00333,5,"['Burkholderiales', 'Campylobacterales', 'T02545', 'T06085', 'T06794']"
K03152,9,"['Bacteroides', 'Campylobacter', 'Eubacteriales', 'Lactobacillus', 'T00964', 'T01461', 'T01485', 'T05143', 'T08201']"
K01880,6,"['Actinomycetes', 'Bacteroidales', 'Eubacteriales', 'Staphylococcus', 'T01461', 'T06584']"
K08296,6,"['Bifidobacterium', 'Campylobacter', 'Micrococcales', 'Pseudomonadota', 'T02545', 'T06794']"
K03072,8,"['Campylobacterales', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T01461', 'T02545', 'T04453', 'T08201']"
K01902,8,"['Bifidobacterium', 'Campylobacter', 'Micrococcales', 'Pseudomonadota', 'Staphylococcus', 'T00122', 'T02545', 'T06794']"
K03816,9,"['Bacillota', 'Coriobacteriia', 'Gammaproteobacteria', 'T00122', 'T01461', 'T02505', 'T03496', 'T04222', 'T07941']"
K01878,7,"['Campylobacterales', 'Coriobacteriia', 'Lactobacillus', 'Pseudomonadota', 'T00964', 'T04453', 'T08201']"
K07137,12,"['Bacteroides', 'Comamonadaceae', 'Coriobacteriia', 'Eubacteriales', 'Gammaproteobacteria', 'T00398', 'T00964', 'T01461', 'T02133', 'T04453', 'T05738', 'T06584']"
K03615,10,"['Bacteroidales', 'Eubacteriales', 'T00964', 'T00984', 'T01461', 'T02505', 'T03770', 'T04453', 'T06584', 'T08201']"
K06999,7,"['Bifidobacterium', 'Comamonadaceae', 'Gammaproteobacteria', 'Micrococcaceae', 'T00398', 'T05738', 'T06085']"
K06204,8,"['Campylobacter', 'Pseudomonadota', 'T00447', 'T01461', 'T01485', 'T02133', 'T05201', 'T06523']"
K03617,9,"['Bacteroidales', 'Eubacteriales', 'T00964', 'T00984', 'T01461', 'T03770', 'T04453', 'T06584', 'T08201']"
K00610,7,"['Bacteroides', 'Bifidobacterium', 'Lachnospiraceae', 'T00964', 'T01461', 'T01485', 'T03770']"
K00242,5,"['Micrococcales', 'Pseudomonadota', 'T02545', 'T06794', 'T08201']"
K00989,6,"['Actinomycetes', 'Pseudomonadota', 'T04182', 'T04453', 'T05143', 'T06584']"
K01879,7,"['Campylobacterales', 'Coriobacteriia', 'Lactobacillus', 'Pseudomonadota', 'T00964', 'T04453', 'T08201']"
K01920,1,['Pseudomonadota']
K00963,8,"['Actinomycetota', 'Bacilli', 'Campylobacterales', 'Pseudomonadota', 'T04182', 'T04453', 'T06584', 'T08201']"
K03750,11,"['Campylobacterales', 'Coriobacteriia', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545', 'T04453', 'T06584', 'T08069', 'T08201']"
K00252,6,"['Burkholderiales', 'Micrococcales', 'T02545', 'T06085', 'T06554', 'T06794']"
K00658,4,"['Pseudomonadota', 'Staphylococcus', 'T00122', 'T07941']"
K00121,6,"['Pseudomonadota', 'T00447', 'T02545', 'T05201', 'T05843', 'T06794']"
K06891,6,"['Campylobacter', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T02545', 'T06523']"
K00970,4,"['Actinomycetes', 'Bacteroidales', 'Pseudomonadota', 'T01461']"
K00982,2,"['Actinomycetes', 'Pseudomonadota']"
