a,b,weight
Eubacteriales,Staphylococcus,7
Eubacteriales,T00964,16
Eubacteriales,T01461,19
Eubacteriales,T03770,4
Eubacteriales,T04481,1
Eubacteriales,T06584,12
Eubacteriales,T08201,10
Staphylococcus,T00964,8
Staphylococcus,T01461,10
Staphylococcus,T03770,1
Staphylococcus,T04481,1
T00964,T01461,23
T00964,T03770,6
T00964,T06584,18
T00964,T08201,16
T01461,T04481,1
T01461,T06584,21
T01461,T08201,26
T03770,T06584,7
T03770,T08201,5
T04481,T06584,1
T04481,T08201,2
Actinomycetota,Bacilli,2
Actinomycetota,Campylobacterales,3
Actinomycetota,T01461,3
Actinomycetota,T06584,3
Actinomycetota,T08201,3
Bacilli,Burkholderiales,4
Bacilli,Campylobacterales,4
Bacilli,T01461,4
Bacilli,T06085,2
Bacilli,T06554,4
Bacilli,T06584,4
Bacilli,T08201,6
Burkholderiales,Campylobacterales,4
Burkholderiales,T01461,5
Burkholderiales,T06584,6
Burkholderiales,T08201,6
Campylobacterales,T06085,5
Campylobacterales,T06554,2
T01461,T06085,9
T01461,T06554,3
T06085,T06584,7
T06085,T08201,6
T06554,T06584,4
T06554,T08201,6
Bacilli,Mycobacteriales,3
Bacilli,T00447,1
Bacilli,T02133,1
Bacilli,T02545,3
Bacilli,T05201,1
Bifidobacterium,Burkholderiales,2
Bifidobacterium,Mycobacteriales,1
Bifidobacterium,T00447,3
Bifidobacterium,T02133,2
Bifidobacterium,T05843,1
Bifidobacterium,T06085,3
Burkholderiales,T00447,4
Burkholderiales,T02133,3
Burkholderiales,T05201,5
Burkholderiales,T05843,5
Mycobacteriales,T00447,1
Mycobacteriales,T02133,6
Mycobacteriales,T05201,2
Mycobacteriales,T05843,2
T00447,T02133,1
T00447,T06085,4
T00447,T06554,1
T00447,T06584,1
T02133,T02545,7
T02133,T05201,1
T02133,T05843,2
T02133,T06085,3
T02133,T06554,4
T02133,T06584,8
T05201,T06554,1
T05201,T06584,3
T05843,T06085,3
T05843,T06554,1
T05843,T06584,4
Eubacteriales,T00398,3
Eubacteriales,T04453,13
T00398,T00964,3
T00398,T04453,4
T00398,T06584,4
T00398,T08201,1
T00964,T04453,19
Actinomycetota,Pseudomonadota,2
Actinomycetota,T00964,1
Actinomycetota,T04453,3
Campylobacterales,T07941,2
Pseudomonadota,T00964,4
Pseudomonadota,T01461,12
Pseudomonadota,T07941,2
T01461,T07941,2
T04453,T07941,1
T06584,T07941,1
T07941,T08201,1
Bacilli,Pseudomonadota,3
Burkholderiales,Gammaproteobacteria,7
Burkholderiales,T04182,2
Gammaproteobacteria,T00447,3
Gammaproteobacteria,T02545,8
Gammaproteobacteria,T05201,5
Gammaproteobacteria,T05843,2
Gammaproteobacteria,T06794,5
T00447,T04182,3
T04182,T05201,2
T04182,T05843,1
T04182,T06794,2
Micrococcales,T07354,2
Pseudomonadota,T07354,2
T02545,T07354,4
T06794,T07354,3
Bacteroidales,Corynebacterium,1
Bacteroidales,Micrococcales,4
Bacteroidales,T00577,1
Bifidobacterium,Corynebacterium,2
Bifidobacterium,Micrococcales,3
Coriobacteriia,Corynebacterium,3
Coriobacteriia,Micrococcales,7
Corynebacterium,Eubacteriales,3
Corynebacterium,Micrococcales,2
Corynebacterium,T01461,3
Corynebacterium,T02545,1
Corynebacterium,T08201,1
Eubacteriales,T00577,2
Eubacteriales,T02545,2
Micrococcales,T01461,3
Micrococcales,T04481,1
T00577,T01461,3
T00577,T08201,2
T02545,T04481,1
T08201,T08780,2
Campylobacterales,T02133,7
Mycobacteriales,T01461,6
T01461,T02133,9
T01461,T05843,3
T02133,T08201,6
T05843,T08201,2
Bacillota,T08201,2
T01461,T04721,1
T04721,T08201,1
Campylobacterales,T00701,1
Mycobacteriales,T00701,1
Pseudomonadota,T00701,2
T00701,T01461,2
T00701,T02545,2
T00701,T04453,2
T00701,T05843,1
T00701,T08201,1
T04453,T05201,3
T04453,T05843,3
T05201,T08201,3
Bacteroidales,Dorea,2
Bacteroidales,T04182,2
Bacteroidales,T05143,1
Bacteroidales,T06719,3
Bifidobacterium,Lactobacillus,1
Bifidobacterium,T05143,2
Campylobacterales,Dorea,1
Campylobacterales,Lactobacillus,2
Campylobacterales,T05143,1
Campylobacterales,T07943,1
Dorea,T01461,2
Dorea,T04182,3
Dorea,T05143,1
Dorea,T06719,7
Dorea,T07943,1
Dorea,T08201,3
Lactobacillus,T01461,1
Lactobacillus,T04182,1
Lactobacillus,T05143,1
Lactobacillus,T08201,3
T01461,T04182,3
T01461,T05143,4
T01461,T06719,2
T01461,T07943,2
T04182,T05143,1
T04182,T07943,1
T05143,T06719,1
T05143,T07943,1
T05143,T08201,3
T06719,T07943,1
T07943,T08201,1
Actinomycetes,Campylobacterales,1
Actinomycetes,Pseudomonadota,5
Campylobacterales,T00122,2
Pseudomonadota,T00122,4
Pseudomonadota,T02133,6
T00122,T02133,1
Bacteroidales,T05095,1
Campylobacter,T00964,1
Campylobacter,T04182,1
Campylobacter,T06584,3
Campylobacter,T08201,5
Coriobacteriia,Dorea,2
Coriobacteriia,T04182,1
Coriobacteriia,T05095,1
Coriobacteriia,T06719,2
Dorea,T00964,2
Dorea,T04453,4
Dorea,T05095,4
Dorea,T06584,5
T00964,T04182,5
T00964,T05095,2
T00964,T06719,2
T04182,T05095,2
T04453,T05095,2
T05095,T06584,3
T05095,T06719,4
T05095,T08201,2
Bifidobacterium,Pseudomonadota,4
Bifidobacterium,T00122,1
Bifidobacterium,T06794,5
Campylobacter,Micrococcales,5
Campylobacter,Pseudomonadota,6
Campylobacter,Staphylococcus,6
Campylobacter,T00122,1
Campylobacter,T02545,5
Campylobacter,T06794,3
Micrococcales,T00122,3
Staphylococcus,T00122,4
T00122,T02545,3
T00122,T06794,1
Corynebacterium,Staphylococcus,1
Bacteroidales,Burkholderiales,2
Bacteroidales,Gammaproteobacteria,2
Burkholderiales,Campylobacter,2
Burkholderiales,Coriobacteriia,4
Burkholderiales,Eubacteriales,2
Burkholderiales,T07354,2
Campylobacter,Eubacteriales,1
Campylobacter,Gammaproteobacteria,1
Campylobacter,T05843,1
Coriobacteriia,Gammaproteobacteria,5
Coriobacteriia,T05843,1
Coriobacteriia,T07354,1
Eubacteriales,Gammaproteobacteria,4
Eubacteriales,T05843,1
Eubacteriales,T07354,1
Gammaproteobacteria,Staphylococcus,4
Gammaproteobacteria,T01461,7
Gammaproteobacteria,T06584,5
Gammaproteobacteria,T07354,2
Staphylococcus,T07354,1
T01461,T07354,2
T05843,T07354,1
T06584,T07354,1
Pseudomonadota,T08780,2
T00447,T04453,3
T00447,T08780,1
T04182,T08780,1
T04453,T06794,4
T06794,T08780,2
T00447,T01461,3
T00447,T07354,1
Bacteroides,Campylobacter,2
Bacteroides,Eubacteriales,4
Bacteroides,T00964,7
Bacteroides,T01461,11
Bacteroides,T01485,6
Bacteroides,T05143,2
Bacteroides,T08201,5
Campylobacter,T01485,1
Campylobacter,T05143,1
Eubacteriales,T01485,1
Eubacteriales,T05143,1
Lactobacillus,T00964,3
T00964,T01485,3
T00964,T05143,1
T01461,T01485,4
Actinomycetes,Bacteroidales,2
Actinomycetes,Staphylococcus,1
Actinomycetes,T01461,1
Actinomycetes,T06584,2
Bacillota,Gammaproteobacteria,1
Coriobacteriia,T00122,1
Coriobacteriia,T02505,1
Coriobacteriia,T07941,1
Gammaproteobacteria,T03496,1
T00122,T01461,1
T00122,T07941,3
T01461,T02505,3
T01461,T03496,2
T01461,T04222,1
T02505,T03496,1
T03496,T04222,1
Coriobacteriia,Lactobacillus,2
Coriobacteriia,Pseudomonadota,6
Lactobacillus,Pseudomonadota,3
Lactobacillus,T04453,1
Bacteroides,Comamonadaceae,2
Bacteroides,Coriobacteriia,6
Bacteroides,Gammaproteobacteria,2
Bacteroides,T02133,8
Bacteroides,T04453,9
Bacteroides,T05738,2
Bacteroides,T06584,7
Comamonadaceae,Coriobacteriia,1
Comamonadaceae,Eubacteriales,1
Comamonadaceae,Gammaproteobacteria,3
Comamonadaceae,T00398,3
Comamonadaceae,T00964,1
Comamonadaceae,T01461,1
Comamonadaceae,T02133,1
Comamonadaceae,T04453,2
Comamonadaceae,T05738,3
Comamonadaceae,T06584,2
Coriobacteriia,T02133,3
Coriobacteriia,T05738,1
Eubacteriales,T02133,1
Eubacteriales,T05738,2
Gammaproteobacteria,T00398,4
Gammaproteobacteria,T00964,5
Gammaproteobacteria,T02133,2
Gammaproteobacteria,T04453,6
Gammaproteobacteria,T05738,1
T00398,T05738,2
T00964,T02133,3
T00964,T05738,2
T01461,T05738,2
T02133,T04453,10
T02133,T05738,1
T04453,T05738,2
T05738,T06584,2
Bacteroidales,T00984,4
Bacteroidales,T02505,1
Eubacteriales,T00984,4
Eubacteriales,T02505,1
T00964,T00984,5
T00964,T02505,1
T00984,T01461,5
T00984,T03770,2
T00984,T04453,5
T00984,T06584,5
T02505,T03770,1
T02505,T04453,2
T02505,T06584,2
T02505,T08201,2
Bifidobacterium,Gammaproteobacteria,1
Comamonadaceae,T06085,5
Gammaproteobacteria,T06085,8
Micrococcaceae,T00398,1
T00398,T06085,6
T05738,T06085,3
Campylobacter,T02133,3
Campylobacter,T06523,1
Pseudomonadota,T06523,4
T00447,T01485,1
T00447,T06523,1
T01461,T06523,2
T01485,T05201,1
T05201,T06523,1
Bacteroides,Bifidobacterium,4
Bacteroides,Lachnospiraceae,3
Bacteroides,T03770,3
Bifidobacterium,Lachnospiraceae,2
Bifidobacterium,T01485,1
Lachnospiraceae,T00964,2
Lachnospiraceae,T01461,4
Lachnospiraceae,T03770,2
T06794,T08201,3
Pseudomonadota,T05143,2
T04453,T05143,4
T05143,T06584,3
Actinomycetota,T04182,1
Bacilli,T04182,3
Bacilli,T04453,2
Coriobacteriia,Mycobacteriales,4
Mycobacteriales,T08069,1
Pseudomonadota,T08069,1
Staphylococcus,T08069,1
T02545,T08069,1
T04453,T08069,1
Staphylococcus,T07941,2
Campylobacter,Mycobacteriales,2
T02545,T06523,1
Bacteroidales,Pseudomonadota,5
Burkholderiaceae,Gammaproteobacteria,4
Burkholderiaceae,Micrococcales,1
Burkholderiaceae,Mycobacteriales,1
Burkholderiaceae,Staphylococcus,1
Burkholderiaceae,T02545,1
Burkholderiaceae,T06085,2
Burkholderiaceae,T08201,1
Campylobacter,T06085,2
Gammaproteobacteria,Micrococcales,5
Gammaproteobacteria,Mycobacteriales,3
Gammaproteobacteria,T04481,1
Gammaproteobacteria,T08201,3
T04481,T06085,1
Burkholderiaceae,T00447,1
Burkholderiaceae,T04721,2
Burkholderiaceae,T05201,1
Burkholderiaceae,T06794,1
Gammaproteobacteria,T04721,2
T00447,T04721,1
T04721,T05201,1
T04721,T06794,1
Campylobacterales,T00925,1
Corynebacterium,T00964,2
Corynebacterium,T04453,2
Staphylococcus,T05738,1
T00925,T05738,1
T00925,T06584,1
T00925,T08201,1
T05738,T08201,2
Bacteroidales,T06085,1
Coriobacteriia,T06085,4
Eubacteriales,T06085,3
T00964,T02545,6
T00964,T06085,6
Burkholderiales,T00964,5
Gammaproteobacteria,T00577,1
Gammaproteobacteria,T00984,1
T00577,T00964,1
T00577,T00984,1
T00577,T04453,2
T00577,T06584,1
T00964,T05201,3
T03496,T04453,1
T03496,T06584,1
Bacteroides,T06085,3
Bifidobacterium,T04115,1
Coriobacteriia,T04115,1
Corynebacterium,T04115,1
Eubacteriales,T04115,1
T00964,T04115,1
T01461,T04115,1
T04115,T04453,1
T04115,T06554,1
Actinomycetota,T02133,1
Bacillota,Bacteroides,1
Bacteroides,T00577,1
Dorea,Micrococcales,1
Dorea,Staphylococcus,1
Dorea,T02545,1
Dorea,T06085,1
Micrococcales,T02133,3
Micrococcales,T07941,1
Mycobacteriales,T00122,1
Mycobacteriales,T07941,1
Staphylococcus,T02133,7
Staphylococcus,T05095,1
T02545,T07941,1
T06085,T06719,1
Micrococcaceae,Mycobacteriales,2
Micrococcaceae,Pseudomonadota,1
Bacteroidales,Mycobacteriales,4
T04182,T04222,1
Bifidobacterium,T07267,4
Comamonadaceae,T00925,3
Comamonadaceae,T02545,2
T00925,T02545,1
T04021,T06523,1
T06085,T06523,1
T06523,T06584,1
Staphylococcus,T00701,1
T00701,T06584,1
Burkholderiales,T03970,1
Micrococcaceae,T03970,1
Micrococcaceae,T08780,1
T03970,T06085,1
T03970,T06554,1
T03970,T08780,1
Campylobacter,T07267,1
T04453,T07267,4
T05143,T07267,1
T06584,T06794,2
T06584,T07267,4
Coriobacteriia,T00447,3
Coriobacteriia,T06794,3
Lactobacillus,T00447,1
Lactobacillus,T05201,1
Mycobacteriales,T05143,1
T02545,T05143,1
Bacteroides,Staphylococcus,5
Lachnospiraceae,T02133,2
Lachnospiraceae,T06584,3
Bacilli,Coriobacteriia,1
Bacilli,T00964,2
T00447,T00964,2
Bacteroides,Dorea,2
Bacteroides,T05095,1
Bacteroides,T06719,2
Coriobacteriia,T01485,1
Dorea,T01485,1
T01485,T05095,1
T01485,T06584,1
T01485,T06719,1
Dorea,T00984,1
T00984,T05095,1
T00984,T06719,1
Bacteroides,Pseudomonadota,2
Bacteroides,T02545,2
Eubacteriales,T00701,1
Gammaproteobacteria,T00701,1
Mycobacteriales,T00964,3
T00701,T00964,1
Campylobacter,T06554,2
T00398,T06554,1
T00398,T07267,1
T06085,T07267,2
Bacteroides,T00984,2
Bacteroides,T07354,1
T00984,T07354,1
T02133,T04182,1
T04182,T06554,2
Bacteroides,T07267,2
Lachnospiraceae,T04453,1
Lachnospiraceae,T07267,1
T01461,T07267,2
T02133,T03770,1
T02133,T07267,1
T03770,T07267,1
T04453,T07943,1
T06584,T07943,1
Bacilli,Micrococcales,2
Comamonadaceae,Micrococcales,1
Comamonadaceae,T06554,2
Comamonadaceae,T08201,2
Micrococcales,T00964,2
T00964,T06554,1
Bacteroides,T06554,1
T01485,T04453,1
T01485,T06085,1
T05738,T06554,2
Coriobacteriia,T07267,3
Gammaproteobacteria,T00925,2
Bacteroides,Campylobacterales,2
Campylobacterales,Gammaproteobacteria,1
T00964,T05843,1
Bacteroides,Micrococcales,1
Bacteroides,Mycobacteriales,1
T00398,T00925,1
T00398,T06794,1
