characters,fa_length,fa_list
K03308,25,"['T00122', 'T00577', 'T00701', 'T00964', 'T00984', 'T01461', 'T02133', 'T03770', 'T03970', 'T04021', 'T04182', 'T04453', 'T05095', 'T05843', 'T06252', 'T06523', 'T06554', 'T06584', 'T06719', 'T07354', 'T07941', 'T07943', 'T08069', 'T08666', 'T08780']"
K08300,20,"['T00398', 'T00447', 'T00701', 'T00925', 'T01842', 'T02505', 'T02545', 'T03496', 'T03770', 'T04222', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354']"
K05520,17,"['T00398', 'T00447', 'T00701', 'T00925', 'T00964', 'T02545', 'T03770', 'T03970', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06794', 'T07267', 'T07354']"
K03116,29,"['T00122', 'T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T00984', 'T02133', 'T02545', 'T03770', 'T03970', 'T04021', 'T04453', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06523', 'T06554', 'T06794', 'T07267', 'T07354', 'T07941', 'T08201', 'T08780']"
K18707,21,"['T00122', 'T00964', 'T00984', 'T01461', 'T01485', 'T02133', 'T03970', 'T04182', 'T04453', 'T05095', 'T05143', 'T06085', 'T06252', 'T06523', 'T06584', 'T06719', 'T07941', 'T07943', 'T08069', 'T08201', 'T08666']"
K00850,21,"['T00122', 'T00964', 'T01461', 'T01485', 'T01954', 'T02133', 'T03770', 'T03970', 'T04115', 'T04182', 'T04453', 'T05095', 'T06252', 'T06523', 'T06584', 'T06719', 'T07941', 'T07943', 'T08069', 'T08201', 'T08666']"
K04069,22,"['T00122', 'T00577', 'T00984', 'T01461', 'T01842', 'T02133', 'T02505', 'T03496', 'T03770', 'T04021', 'T04222', 'T04453', 'T05095', 'T05143', 'T06523', 'T06584', 'T06719', 'T07267', 'T07941', 'T07943', 'T08069', 'T08666']"
K08972,19,"['T00398', 'T00447', 'T00925', 'T00964', 'T00984', 'T01842', 'T02505', 'T02545', 'T03496', 'T04222', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06584', 'T06794', 'T07267']"
K08311,10,"['T00398', 'T00577', 'T00925', 'T03770', 'T04021', 'T04481', 'T04721', 'T06085', 'T06554', 'T08780']"
K00684,10,"['T00398', 'T00925', 'T03770', 'T04021', 'T04481', 'T04721', 'T05738', 'T06085', 'T06523', 'T06554']"
K00943,37,"['T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T00964', 'T00984', 'T01461', 'T01842', 'T01954', 'T02133', 'T02505', 'T02545', 'T03496', 'T03770', 'T03970', 'T04021', 'T04115', 'T04182', 'T04222', 'T04453', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06554', 'T06584', 'T06794', 'T07267', 'T07354', 'T07943', 'T08201', 'T08780']"
K10764,7,"['T00398', 'T00447', 'T05201', 'T05738', 'T06085', 'T06554', 'T06794']"
K06195,7,"['T00398', 'T00925', 'T03770', 'T04481', 'T04721', 'T05738', 'T06554']"
K00140,14,"['T00398', 'T00447', 'T00701', 'T00925', 'T02545', 'T04453', 'T04481', 'T04721', 'T05201', 'T05738', 'T05843', 'T06085', 'T06554', 'T06794']"
K07113,7,"['T02545', 'T03770', 'T06085', 'T06554', 'T06794', 'T07267', 'T07354']"
K00020,21,"['T00398', 'T00447', 'T00701', 'T00925', 'T00984', 'T02545', 'T03770', 'T04453', 'T04481', 'T04721', 'T05143', 'T05201', 'T05843', 'T06085', 'T06554', 'T06584', 'T06719', 'T06794', 'T07267', 'T08069', 'T08666']"
K02825,23,"['T00398', 'T00447', 'T00701', 'T00925', 'T00984', 'T01954', 'T02545', 'T03970', 'T04115', 'T04453', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06252', 'T06554', 'T06584', 'T06794', 'T07267', 'T07354', 'T08201']"
K10804,14,"['T00398', 'T00447', 'T00925', 'T00964', 'T01954', 'T03770', 'T04115', 'T04182', 'T04481', 'T04721', 'T05201', 'T05738', 'T06085', 'T06554']"
K00208,16,"['T00122', 'T00577', 'T00925', 'T02133', 'T03970', 'T04021', 'T04115', 'T04481', 'T04721', 'T05738', 'T06085', 'T06252', 'T06523', 'T06554', 'T07941', 'T08201']"
K01572,0,[]
K07723,2,"['T03970', 'T06252']"
K03118,29,"['T00122', 'T00398', 'T00447', 'T00577', 'T00701', 'T00925', 'T00984', 'T02133', 'T02545', 'T03770', 'T03970', 'T04021', 'T04453', 'T04481', 'T04721', 'T05143', 'T05201', 'T05738', 'T05843', 'T06085', 'T06252', 'T06523', 'T06554', 'T06794', 'T07267', 'T07354', 'T07941', 'T08201', 'T08780']"
K03579,10,"['T00447', 'T00701', 'T02545', 'T03770', 'T05201', 'T05843', 'T06085', 'T06554', 'T07267', 'T07354']"
